source,taxon_code,scientific_name,common_name,rank,species_code,species_scientific_name,species_common_name,genus_code,genus_scientific_name,genus_common_name,family_code,family_scientific_name,family_common_name,order_code,order_scientific_name,order_common_name,class_code,class_scientific_name,class_common_name,loaded_timestamp
2,49490,cladonia,pixie cup and reindeer lichens,genus,,,,49490,cladonia,pixie cup and reindeer lichens,,cladoniaceae,spindles and structured lichens,,lecanorales,"shield lichens, rim lichens, and allies",,lecanoromycetes,common lichens,2025-12-13 12:29:31
2,55732,potentilla norvegica,rough cinquefoil,species,55732,potentilla norvegica,rough cinquefoil,,potentilla,cinquefoils,,rosaceae,rose family,,rosales,"roses, elms, figs, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
2,118365,chalciporus,,genus,,,,118365,chalciporus,,,boletaceae,boletes,,boletales,boletes and allies,,agaricomycetes,"mushrooms, bracket fungi, puffballs, and allies",2025-12-13 12:29:31
2,54805,fraxinus americana,white ash,species,54805,fraxinus americana,white ash,,fraxinus,ashes,,oleaceae,olive family,,lamiales,"mints, plantains, olives, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
2,118028,dacrymyces chrysospermus,orange jelly spot,species,118028,dacrymyces chrysospermus,orange jelly spot,,dacrymyces,,,dacrymycetaceae,,,dacrymycetales,,,dacrymycetes,,2025-12-13 12:29:31
2,125684,humidicutis marginata,orange gilled waxcap,species,125684,humidicutis marginata,orange gilled waxcap,,humidicutis,,,hygrophoraceae,waxcaps and allies,,agaricales,common gilled mushrooms and allies,,agaricomycetes,"mushrooms, bracket fungi, puffballs, and allies",2025-12-13 12:29:31
2,371588,russula paludosa,hintapink,species,371588,russula paludosa,hintapink,,russula,brittlegills,,russulaceae,"milkcaps, brittlegills and allies",,russulales,,,agaricomycetes,"mushrooms, bracket fungi, puffballs, and allies",2025-12-13 12:29:31
2,127051,peltigera praetextata,scaly pelt lichen,species,127051,peltigera praetextata,scaly pelt lichen,,peltigera,pelt lichens,,peltigeraceae,,,peltigerales,,,lecanoromycetes,common lichens,2025-12-13 12:29:31
2,50879,erigeron,fleabanes and horseweeds,genus,,,,50879,erigeron,fleabanes and horseweeds,,asteraceae,"sunflowers, daisies, asters, and allies",,asterales,"sunflowers, bellflowers, fanflowers, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
2,120181,oclemena acuminata,whorled wood aster,species,120181,oclemena acuminata,whorled wood aster,,oclemena,nodding-asters,,asteraceae,"sunflowers, daisies, asters, and allies",,asterales,"sunflowers, bellflowers, fanflowers, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
2,48707,ramaria,coral fungi,genus,,,,48707,ramaria,coral fungi,,gomphaceae,,,gomphales,,,agaricomycetes,"mushrooms, bracket fungi, puffballs, and allies",2025-12-13 12:29:31
2,53460,gaultheria hispidula,creeping snowberry,species,53460,gaultheria hispidula,creeping snowberry,,gaultheria,wintergreens,,ericaceae,heath family,,ericales,"heathers, balsams, primroses, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
2,136608,bazzania trilobata,greater whipwort,species,136608,bazzania trilobata,greater whipwort,,bazzania,,,lepidoziaceae,,,jungermanniales,,,jungermanniopsida,leafy and simple thalloid liverworts,2025-12-13 12:29:31
2,120005,solidago caesia,bluestem goldenrod,species,120005,solidago caesia,bluestem goldenrod,,solidago,goldenrods,,asteraceae,"sunflowers, daisies, asters, and allies",,asterales,"sunflowers, bellflowers, fanflowers, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
2,154446,lambdina fiscellaria,hemlock looper moth,species,154446,lambdina fiscellaria,hemlock looper moth,,lambdina,,,geometridae,geometer moths,,lepidoptera,butterflies and moths,,insecta,insects,2025-12-13 12:29:31
2,351318,lactifluus deceptivus,deceptive milky,species,351318,lactifluus deceptivus,deceptive milky,,lactifluus,,,russulaceae,"milkcaps, brittlegills and allies",,russulales,,,agaricomycetes,"mushrooms, bracket fungi, puffballs, and allies",2025-12-13 12:29:31
2,62351,lobelia inflata,indian tobacco,species,62351,lobelia inflata,indian tobacco,,lobelia,lobelias,,campanulaceae,bellflower family,,asterales,"sunflowers, bellflowers, fanflowers, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
