source,taxon_code,scientific_name,common_name,rank,species_code,species_scientific_name,species_common_name,genus_code,genus_scientific_name,genus_common_name,family_code,family_scientific_name,family_common_name,order_code,order_scientific_name,order_common_name,class_code,class_scientific_name,class_common_name,loaded_timestamp
1,veery,catharus fuscescens,veery,species,veery,catharus fuscescens,veery,,,,turdid1,turdidae,thrushes and allies,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,chispa,spizella passerina,chipping sparrow,species,chispa,spizella passerina,chipping sparrow,,,,passer3,passerellidae,new world sparrows,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,herthr,catharus guttatus,hermit thrush,species,herthr,catharus guttatus,hermit thrush,,,,turdid1,turdidae,thrushes and allies,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,yerwar,setophaga coronata,yellow-rumped warbler,species,yerwar,setophaga coronata,yellow-rumped warbler,,,,paruli1,parulidae,new world warblers,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,comyel,geothlypis trichas,common yellowthroat,species,comyel,geothlypis trichas,common yellowthroat,,,,paruli1,parulidae,new world warblers,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,winwre3,troglodytes hiemalis,winter wren,species,winwre3,troglodytes hiemalis,winter wren,,,,troglo1,troglodytidae,wrens,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,bkbcuc,coccyzus erythropthalmus,black-billed cuckoo,species,bkbcuc,coccyzus erythropthalmus,black-billed cuckoo,,,,cuculi1,cuculidae,cuckoos,,cuculiformes,,,Aves,Birds,2025-12-13 12:29:31
1,turvul,cathartes aura,turkey vulture,species,turvul,cathartes aura,turkey vulture,,,,cathar2,cathartidae,new world vultures,,cathartiformes,,,Aves,Birds,2025-12-13 12:29:31
1,buhvir,vireo solitarius,blue-headed vireo,species,buhvir,vireo solitarius,blue-headed vireo,,,,vireon1,vireonidae,"vireos, shrike-babblers, and erpornis",,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,amerob,turdus migratorius,american robin,species,amerob,turdus migratorius,american robin,,,,turdid1,turdidae,thrushes and allies,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,pinsis,spinus pinus,pine siskin,species,pinsis,spinus pinus,pine siskin,,,,fringi1,fringillidae,"finches, euphonias, and allies",,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,bkbwar,setophaga fusca,blackburnian warbler,species,bkbwar,setophaga fusca,blackburnian warbler,,,,paruli1,parulidae,new world warblers,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,grcfly,myiarchus crinitus,great crested flycatcher,species,grcfly,myiarchus crinitus,great crested flycatcher,,,,tyrann2,tyrannidae,tyrant flycatchers,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,whbnut,sitta carolinensis,white-breasted nuthatch,species,whbnut,sitta carolinensis,white-breasted nuthatch,,,,sittid1,sittidae,nuthatches,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,whtspa,zonotrichia albicollis,white-throated sparrow,species,whtspa,zonotrichia albicollis,white-throated sparrow,,,,passer3,passerellidae,new world sparrows,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
2,82568,dryopteris intermedia,intermediate wood fern,species,82568,dryopteris intermedia,intermediate wood fern,,dryopteris,wood ferns,,dryopteridaceae,shieldfern family,,polypodiales,,,polypodiopsida,ferns,2025-12-13 12:29:31
2,132322,platanthera grandiflora,greater purple fringed orchid,species,132322,platanthera grandiflora,greater purple fringed orchid,,platanthera,bog orchids,,orchidaceae,orchids,,asparagales,"agaves, orchids, irises, and allies",,liliopsida,monocots,2025-12-13 12:29:31
2,48095,acer pensylvanicum,striped maple,species,48095,acer pensylvanicum,striped maple,,acer,maples,,sapindaceae,soapberry family,,sapindales,"soapberries, cashews, mahoganies, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
2,119828,aralia nudicaulis,wild sarsaparilla,species,119828,aralia nudicaulis,wild sarsaparilla,,aralia,spikenards,,araliaceae,ivy family,,apiales,"carrots, ivies, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
2,54067,marasmius,pinwheels and parachute mushrooms,genus,,,,54067,marasmius,pinwheels and parachute mushrooms,,marasmiaceae,pinwheel family,,agaricales,common gilled mushrooms and allies,,agaricomycetes,"mushrooms, bracket fungi, puffballs, and allies",2025-12-13 12:29:31
2,204165,osmundastrum cinnamomeum,cinnamon fern,species,204165,osmundastrum cinnamomeum,cinnamon fern,,osmundastrum,cinnamon ferns,,osmundaceae,royal fern family,,osmundales,,,polypodiopsida,ferns,2025-12-13 12:29:31
2,64293,triodanis perfoliata,clasping venus's looking glass,species,64293,triodanis perfoliata,clasping venus's looking glass,,triodanis,venus' looking-glasses,,campanulaceae,bellflower family,,asterales,"sunflowers, bellflowers, fanflowers, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
2,418164,eriocampa ovata,alder sawfly,species,418164,eriocampa ovata,alder sawfly,,eriocampa,,,tenthredinidae,common sawflies,,hymenoptera,"ants, bees, wasps, and sawflies",,insecta,insects,2025-12-13 12:29:31
2,58707,cordyceps,,genus,,,,58707,cordyceps,,,cordycipitaceae,,,hypocreales,,,sordariomycetes,,2025-12-13 12:29:31
2,52680,polypodium,polypody ferns,genus,,,,52680,polypodium,polypody ferns,,polypodiaceae,polypody family,,polypodiales,,,polypodiopsida,ferns,2025-12-13 12:29:31
2,950598,anemonoides quinquefolia,wood anemone,species,950598,anemonoides quinquefolia,wood anemone,,anemonoides,,,ranunculaceae,buttercup family,,ranunculales,"buttercups, poppies, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
2,54924,medeola virginiana,cucumber root,species,54924,medeola virginiana,cucumber root,,medeola,cucumber roots,,liliaceae,lily family,,liliales,"lilies, supplejacks, and allies",,liliopsida,monocots,2025-12-13 12:29:31
2,83799,mitchella repens,partridgeberry,species,83799,mitchella repens,partridgeberry,,mitchella,,,rubiaceae,madder family,,gentianales,"gentians, dogbanes, madders, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
2,63058,osmunda claytoniana,interrupted fern,species,63058,osmunda claytoniana,interrupted fern,,osmunda,royal ferns,,osmundaceae,royal fern family,,osmundales,,,polypodiopsida,ferns,2025-12-13 12:29:31
2,125389,amanita flavoconia,yellow patches,species,125389,amanita flavoconia,yellow patches,,amanita,amanita mushrooms,,amanitaceae,amanita mushrooms and allies,,agaricales,common gilled mushrooms and allies,,agaricomycetes,"mushrooms, bracket fungi, puffballs, and allies",2025-12-13 12:29:31
2,47157,lepidoptera,butterflies and moths,order,,,,,,,,,,47157,lepidoptera,butterflies and moths,,insecta,insects,2025-12-13 12:29:31
2,128715,thalictrum pubescens,tall meadow-rue,species,128715,thalictrum pubescens,tall meadow-rue,,thalictrum,meadow-rues,,ranunculaceae,buttercup family,,ranunculales,"buttercups, poppies, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
2,136399,pleurotus pulmonarius,pale oyster,species,136399,pleurotus pulmonarius,pale oyster,,pleurotus,oyster mushrooms,,pleurotaceae,,,agaricales,common gilled mushrooms and allies,,agaricomycetes,"mushrooms, bracket fungi, puffballs, and allies",2025-12-13 12:29:31
2,47588,cypripedium acaule,pink lady's slipper,species,47588,cypripedium acaule,pink lady's slipper,,cypripedium,hardy slipper orchids,,orchidaceae,orchids,,asparagales,"agaves, orchids, irises, and allies",,liliopsida,monocots,2025-12-13 12:29:31
2,57131,lilium canadense,canada lily,species,57131,lilium canadense,canada lily,,lilium,true lilies,,liliaceae,lily family,,liliales,"lilies, supplejacks, and allies",,liliopsida,monocots,2025-12-13 12:29:31
2,79484,veratrum viride,green false hellebore,species,79484,veratrum viride,green false hellebore,,veratrum,false hellebores,,melanthiaceae,"herb-paris, false hellebores, trilliums and allies",,liliales,"lilies, supplejacks, and allies",,liliopsida,monocots,2025-12-13 12:29:31
2,68068,rhizomnium,,genus,,,,68068,rhizomnium,,,mniaceae,,,bryales,,,bryopsida,joint-toothed mosses,2025-12-13 12:29:31
2,55244,clavulinopsis,clubs and corals,genus,,,,55244,clavulinopsis,clubs and corals,,clavariaceae,antler and spindle fungi,,agaricales,common gilled mushrooms and allies,,agaricomycetes,"mushrooms, bracket fungi, puffballs, and allies",2025-12-13 12:29:31
2,49477,monotropa uniflora,ghost pipe,species,49477,monotropa uniflora,ghost pipe,,monotropa,indian pipes,,ericaceae,heath family,,ericales,"heathers, balsams, primroses, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
2,489803,limnophilinae,,subfamily,,,,,,,,limoniidae,limoniid crane flies,,diptera,flies,,insecta,insects,2025-12-13 12:29:31
2,52529,phyllotopsis nidulans,stinking orange oyster,species,52529,phyllotopsis nidulans,stinking orange oyster,,phyllotopsis,,,phyllotopsidaceae,,,agaricales,common gilled mushrooms and allies,,agaricomycetes,"mushrooms, bracket fungi, puffballs, and allies",2025-12-13 12:29:31
2,58721,larix laricina,tamarack,species,58721,larix laricina,tamarack,,larix,larches,,pinaceae,pine family,,pinales,conifers,,pinopsida,conifers,2025-12-13 12:29:31
2,127916,streptopus lanceolatus,rose twisted-stalk,species,127916,streptopus lanceolatus,rose twisted-stalk,,streptopus,twisted-stalks,,liliaceae,lily family,,liliales,"lilies, supplejacks, and allies",,liliopsida,monocots,2025-12-13 12:29:31
2,131214,cypripedium parviflorum pubescens,large yellow lady's-slipper,variety,,cypripedium parviflorum,yellow lady's slipper,,cypripedium,hardy slipper orchids,,orchidaceae,orchids,,asparagales,"agaves, orchids, irises, and allies",,liliopsida,monocots,2025-12-13 12:29:31
2,167829,rhus typhina,staghorn sumac,species,167829,rhus typhina,staghorn sumac,,rhus,sumacs,,anacardiaceae,cashew family,,sapindales,"soapberries, cashews, mahoganies, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
2,51871,hygrocybe,waxcaps,genus,,,,51871,hygrocybe,waxcaps,,hygrophoraceae,waxcaps and allies,,agaricales,common gilled mushrooms and allies,,agaricomycetes,"mushrooms, bracket fungi, puffballs, and allies",2025-12-13 12:29:31
2,126251,coptis trifolia,threeleaf goldthread,species,126251,coptis trifolia,threeleaf goldthread,,coptis,goldthreads,,ranunculaceae,buttercup family,,ranunculales,"buttercups, poppies, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
2,165994,oxalis montana,mountain woodsorrel,species,165994,oxalis montana,mountain woodsorrel,,oxalis,woodsorrels,,oxalidaceae,woodsorrel family,,oxalidales,"woodsorrels, quandongs, and allies",,magnoliopsida,dicots,2025-12-13 12:29:31
