source,taxon_code,scientific_name,common_name,rank,species_code,species_scientific_name,species_common_name,genus_code,genus_scientific_name,genus_common_name,family_code,family_scientific_name,family_common_name,order_code,order_scientific_name,order_common_name,class_code,class_scientific_name,class_common_name,loaded_timestamp
1,blujay,cyanocitta cristata,blue jay,species,blujay,cyanocitta cristata,blue jay,,,,corvid1,corvidae,"crows, jays, and magpies",,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,gockin,regulus satrapa,golden-crowned kinglet,species,gockin,regulus satrapa,golden-crowned kinglet,,,,reguli1,regulidae,kinglets,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,chswar,setophaga pensylvanica,chestnut-sided warbler,species,chswar,setophaga pensylvanica,chestnut-sided warbler,,,,paruli1,parulidae,new world warblers,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,norpar,setophaga americana,northern parula,species,norpar,setophaga americana,northern parula,,,,paruli1,parulidae,new world warblers,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,swathr,catharus ustulatus,swainson's thrush,species,swathr,catharus ustulatus,swainson's thrush,,,,turdid1,turdidae,thrushes and allies,,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,yebsap,sphyrapicus varius,yellow-bellied sapsucker,species,yebsap,sphyrapicus varius,yellow-bellied sapsucker,,,,picida1,picidae,woodpeckers,,piciformes,,,Aves,Birds,2025-12-13 12:29:31
1,tuftit,baeolophus bicolor,tufted titmouse,species,tuftit,baeolophus bicolor,tufted titmouse,,,,parida1,paridae,"tits, chickadees, and titmice",,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,amegfi,spinus tristis,american goldfinch,species,amegfi,spinus tristis,american goldfinch,,,,fringi1,fringillidae,"finches, euphonias, and allies",,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
1,brwhaw,buteo platypterus,broad-winged hawk,species,brwhaw,buteo platypterus,broad-winged hawk,,,,accipi1,accipitridae,"hawks, eagles, and kites",,accipitriformes,,,Aves,Birds,2025-12-13 12:29:31
1,amecro,corvus brachyrhynchos,american crow,species,amecro,corvus brachyrhynchos,american crow,,,,corvid1,corvidae,"crows, jays, and magpies",,passeriformes,,,Aves,Birds,2025-12-13 12:29:31
