SCIENTIFIC_NAME,COMMON_NAME,SPECIES_CODE,CATEGORY,TAXON_ORDER,COM_NAME_CODES,SCI_NAME_CODES,BANDING_CODES,ORDER,FAMILY_COM_NAME,FAMILY_SCI_NAME,REPORT_AS,EXTINCT,EXTINCT_YEAR
Larus glaucoides thayeri,Iceland Gull (Thayer's),thagul,issf,4349.0,THGU ICGU,LAGL,THGU,Charadriiformes,"Gulls, Terns, and Skimmers",Laridae,y00478,,
Larus glaucoides kumlieni,Iceland Gull (kumlieni),kumgul1,issf,4352.0,THGU ICGU,LAGL,,Charadriiformes,"Gulls, Terns, and Skimmers",Laridae,y00478,,
