id,observed_on,taxon_id,scientific_name,common_name,rank,native,threatened,place_guess,location_name,latitude,longitude,obs_validity,observation_photo,loaded_timestamp,source
240853688,2024-09-07 11:13,123127,Clavaria fumosa,Smoky Spindles,species,False,False,"Sunburn River Valley Lane, Greenwood, ME, US",Long Mountain Trail,44.3319083333,-70.7524033333,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/429167826/square.jpeg,2025-12-13 16:02:53,2
240853650,2024-09-07 11:11,125684,Humidicutis marginata,orange gilled waxcap,species,False,False,"Sunburn River Valley Lane, Greenwood, ME, US",Long Mountain Trail,44.3318666667,-70.7524033333,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/429167744/square.jpeg,2025-12-13 16:02:53,2
240853513,2024-09-07 11:04,157728,Pholiota squarrosoides,Sharp-scaly Pholiota,species,False,False,"Greenwood, ME, US",Long Mountain Trail,44.33273,-70.7553333333,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/429167522/square.jpeg,2025-12-13 16:02:53,2
240853465,2024-09-07 10:56,55268,Xylaria,,genus,False,False,"Greenwood, ME, US",Long Mountain Trail,44.3340216667,-70.758575,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/429167451/square.jpeg,2025-12-13 16:02:53,2
