id,observed_on,taxon_id,scientific_name,common_name,rank,native,threatened,place_guess,location_name,latitude,longitude,obs_validity,observation_photo,loaded_timestamp,source
247722123,2024-05-25T15:15:16-04:00,131214,Cypripedium parviflorum pubescens,large yellow lady's-slipper,variety,True,True,"Oxford County, US-ME, US",Long Mountain Trail,44.3328624015,-70.7616939073,research,https://inaturalist-open-data.s3.amazonaws.com/photos/442497433/square.jpeg,2025-12-01 12:25:57,2
215306946,2024-05-12T13:55:29-04:00,67772,Uvularia sessilifolia,sessile bellwort,species,True,False,"Albany Twp, ME, US",Long Mountain Trail,44.335755,-70.7587583333,research,https://inaturalist-open-data.s3.amazonaws.com/photos/380658203/square.jpg,2025-12-01 12:25:57,2
215305778,2024-05-12T13:54:11-04:00,950598,Anemonoides quinquefolia,wood anemone,species,True,False,"Albany Twp, ME, US",Long Mountain Trail,44.3357383333,-70.7587666667,research,https://inaturalist-open-data.s3.amazonaws.com/photos/380643860/square.jpg,2025-12-01 12:25:57,2
