id,observed_on,taxon_id,scientific_name,common_name,rank,native,threatened,place_guess,location_name,latitude,longitude,obs_validity,observation_photo,loaded_timestamp,source
175966531,2023-07-23T09:00:46-04:00,417398,Turbinellus floccosus,Scaly Chanterelle,species,True,False,"Greenwood, ME, US",Long Mountain Trail,44.3327116667,-70.7557966667,research,https://inaturalist-open-data.s3.amazonaws.com/photos/305868830/square.jpg,2025-12-01 12:25:57,2
175965996,2023-07-23T11:55:04-04:00,123258,Geoglossum,Earth Tongues,genus,False,False,"Greenwood, ME, US",Long Mountain Trail,44.3317716667,-70.7516466667,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/305867849/square.jpg,2025-12-01 12:25:57,2
173971624,2023-07-20T10:33:08-04:00,125684,Humidicutis marginata,orange gilled waxcap,species,False,False,"Greenwood, ME, US",Long Mountain Trail,44.3338133333,-70.7584216667,research,https://inaturalist-open-data.s3.amazonaws.com/photos/302182172/square.jpg,2025-12-01 12:25:57,2
171501381,2023-07-06T14:48:21-04:00,64293,Triodanis perfoliata,clasping Venus's looking glass,species,True,False,"Oxford County, US-ME, US",Long Mountain Trail,44.3317523491,-70.7513461778,research,https://inaturalist-open-data.s3.amazonaws.com/photos/297605504/square.jpeg,2025-12-01 12:25:57,2
