id,observed_on,taxon_id,scientific_name,common_name,rank,native,threatened,place_guess,location_name,latitude,longitude,obs_validity,observation_photo,loaded_timestamp,source
317592565,2025-09-29T11:53:07-04:00,122455,Plusiinae,Plusiine Looper Moths,subfamily,False,False,"Vernon St, Albany Twp, ME, US",Long Mountain Trail,44.3355116667,-70.7613366667,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/573900573/square.jpg,2025-12-01 12:25:57,2
317592342,2025-09-29T11:55:46-04:00,53460,Gaultheria hispidula,creeping snowberry,species,True,False,"Albany Twp, ME, US",Long Mountain Trail,44.3358416667,-70.7607033333,research,https://inaturalist-open-data.s3.amazonaws.com/photos/573900113/square.jpg,2025-12-01 12:25:57,2
317592218,2025-09-29T11:56:45-04:00,126251,Coptis trifolia,threeleaf goldthread,species,True,False,"Albany Twp, ME, US",Long Mountain Trail,44.3356383333,-70.7604833333,research,https://inaturalist-open-data.s3.amazonaws.com/photos/573900021/square.jpg,2025-12-01 12:25:57,2
317592171,2025-09-29T11:57:22-04:00,136608,Bazzania trilobata,greater whipwort,species,True,False,"Albany Twp, ME, US",Long Mountain Trail,44.3355616667,-70.7603083333,research,https://inaturalist-open-data.s3.amazonaws.com/photos/573899925/square.jpg,2025-12-01 12:25:57,2
317592124,2025-09-29T12:02:47-04:00,54924,Medeola virginiana,Cucumber Root,species,True,False,"Greenwood, ME, US",Long Mountain Trail,44.3342883333,-70.7587133333,research,https://inaturalist-open-data.s3.amazonaws.com/photos/573899807/square.jpg,2025-12-01 12:25:57,2
317592074,2025-09-29T12:14:10-04:00,83799,Mitchella repens,partridgeberry,species,True,False,"Greenwood, ME, US",Long Mountain Trail,44.3321883333,-70.7548533333,research,https://inaturalist-open-data.s3.amazonaws.com/photos/573899677/square.jpg,2025-12-01 12:25:57,2
317591961,2025-09-29T12:17:13-04:00,120005,Solidago caesia,bluestem goldenrod,species,True,False,"Sunburn River Valley Lane, Greenwood, ME, US",Long Mountain Trail,44.3323583333,-70.7534466667,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/573899527/square.jpg,2025-12-01 12:25:57,2
313833038,2025-09-13T10:56:44-04:00,154446,Lambdina fiscellaria,Hemlock Looper Moth,species,True,False,"Albany Twp, ME, US",Long Mountain Trail,44.3351083333,-70.7608116667,research,https://inaturalist-open-data.s3.amazonaws.com/photos/566780161/square.jpg,2025-12-01 12:25:57,2
313685959,2025-09-13T11:16:10-04:00,82568,Dryopteris intermedia,intermediate wood fern,species,True,False,"Greenwood, ME, US",Long Mountain Trail,44.3336866667,-70.7561033333,research,https://inaturalist-open-data.s3.amazonaws.com/photos/566495581/square.jpg,2025-12-01 12:25:57,2
313685812,2025-09-13T11:08:22-04:00,120005,Solidago caesia,bluestem goldenrod,species,True,False,"Greenwood, ME, US",Long Mountain Trail,44.3335116667,-70.7566083333,needs_id,https://inaturalist-open-data.s3.amazonaws.com/photos/566495330/square.jpg,2025-12-01 12:25:57,2
